filename,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,label
motorcycle,1,-1,0.9999999999975884,1,-1,0.041768611,0.9398654730341579,0.8756031562393749,-0.212936707,0.039195599
motorcycle,1,-1,1,1,-1,1,1,0.9906255467239015,0.7504512644644588,0.2610086277655317
delta_elevators,1,-1,1,0.9999999910397859,-1,1,1,1,0.6523015292991765,0.3393983204744913
delta_elevators,1,0.999981942,1,1,0.025969793,0,0.038963571,0.1361306522341133,-0.109911219,0.022950787
delta_elevators,1,-1,1,0.9973568940948022,-1,0,0.10508680035350555,0.18184807824952198,0.14803036285863458,0.03327703
delta_elevators,1,-1,1,1,-1,0,0.040839136,0.074837091,-0.141520743,0.006153002
delta_elevators,1,1,1,0.11199207269755429,0.27467802377489514,0.8225904846308594,0.3597222078506681,0.6199256075122594,0.6325381614587127,0.23741108854082907
delta_elevators,1,0.9999999997270171,0.9999998043160001,0.6540710263441799,0.013335323350579686,0,0.004549995,0.013295626840469211,0.053307046802048785,-0.000232858
house_price_prediction_challenge,0,1,1,0.094853438,0.18834363500979157,0.030101802042088448,0.758656061,0.5396816883858019,0.08455426,0.065398226
house_price_prediction_challenge,1,1,1,1,0.060418182961752935,0.058816986,0.8335484582213151,0.19984883627368125,0.055399321,0.012151309116878206
house_price_prediction_challenge,1,1,1,1,0.064530662,0.033861491511437775,0.8399698010978003,0.25870155483826285,0.067636295,0.027959555
house_price_prediction_challenge,1,1,1,1,0.25433879305460017,0.271035071,0.8202752190556105,0.5740283934036611,0.11228266996585534,0.17287479666804792
house_price_prediction_challenge,0,1,0.687073268,0.087491025,0.002674555,0.028439414,0,0,-0.005880291,0
house_price_prediction_challenge,1,-1,1,0.9239975673346031,-1,1,1,1,0.4026846383520868,0.8099040054304535
house_price_prediction_challenge,1,1,1,1,0.060418182961752935,2.58834825521784e-07,0,0,-0.055399321,0
house_price_prediction_challenge,1,1,1,1,0.058776982,0.49738329672627096,0.9341503467173187,0.6163162999188823,-0.207378253,0.088848643
house_price_prediction_challenge,0,0,1,0.7923385246674524,3.322662873285103,0.24072800519048806,0.848095242,0.36345254700325225,0.12454129459763996,0.033255535
house_price_prediction_challenge,1,-1,0.9999999072123654,1,-1,0.063322913,0.9023721643833498,0.7428787610075652,-0.031112131,0.29239887899537387
house_price_prediction_challenge,1,-1,0.9969341147713823,1,-1,0.047354006586064104,0.9014033664914065,0.7805629589585678,-0.017253705,0.26019868634690435
brazilian_houses,1,0.9999999999998928,1,1,0.9005154140906368,0.084300272,0.013539412978383987,0.00053721,0.2640848486375762,0.000128354
brazilian_houses,1,-1,1,1,-1,0.000353935,0.2232139451353916,0.007348495,0.17817361597111336,0.001019285
brazilian_houses,1,1,1,1,1.0821728754459674,0.12489518317623952,0.059563446,0.004113612,0.5982326481167943,0.000677023
brazilian_houses,1,1,1,1,1.1672855061153105,0.088815845,0.054940858879416944,0.000990693,0.7100356779756721,7.211789209712259e-05
brazilian_houses,1,1,1,1,1.2374541419056664,0.055714511,0.1400634812649204,0.000903875,0.6045535626229032,4.5826395575534234e-05
brazilian_houses,1,0.9998944069108168,1,1,0.31866042199992844,0.012979133115734672,0.031964574,0.000131917,-0.088738247,1.4018580550578606e-05
brazilian_houses,1,0.9999999999999997,1,1,0.35611057927598255,0.073415508,0,0,-0.208631779,1.54072098818983e-07
brazilian_houses,1,-1,1,0.9999999999999883,-1,0.09518576,0.7648165822549696,0.3410202279095387,0.15416003595071193,0.030387773479865137
brazilian_houses,1,-1,1,1,-1,1,1,1,0.8747425508218089,0.08304608
brazilian_houses,1,-1,1,1,-1,0.052658458,0.5750615671144769,0.11713357832531002,0.17106088404795516,0.010599471
brazilian_houses,1,-1,1,1,-1,0.5065510774714581,0.2700995914840909,0.006054975,0.8470722794895589,0.000658328
possum_regression,1,0.4675861645729281,0.90306791,1,1.3858112861536935,0.9291474072075063,0.4260545344862701,0.11359336609859082,-0.16364641,-2.00E-05
possum_regression,0,0.2232110838932605,0.9523710377718968,0.9963744242867885,0.39975552752938515,0.18431281860883952,0,0,0.1947102970129343,0
possum_regression,0,0.4400776577694847,0.7081370357057403,0.9290823115044862,0.4396614646592941,0.1564339620961449,0.5466983229366299,0.24481157718515897,0.1043361015834453,0.000284016
possum_regression,1,0.2735991765024376,0.998729511,1,1.5955070410162775,0.097148043,0.7324370284031702,0.35017781878213744,0.31184831009480674,0.000116991
